Order NO,Order Date,Month/Yr,Day of Week,Pie Flavor,Quantity,Cost,Slice Or Whole Pie,Pre-Order/In-Store Purchase,Organic?
11414,13-08-2020,01-08-2020,Thursday,Cherry,2,40,Whole,Pre-Order,No
11415,13-08-2020,01-08-2020,Thursday,Strawberry Rhubarb,1,20,Whole,In-Store,No
11416,13-08-2020,01-08-2020,Thursday,Apple,3,60,Whole,In-Store,Yes
11417,13-08-2020,01-08-2020,Thursday,Apple,4,80,Whole,In-Store,No
11418,13-08-2020,01-08-2020,Thursday,Apple,2,40,Whole,In-Store,No
11419,13-08-2020,01-08-2020,Thursday,Apple,5,12.5,Slice,In-Store,Yes
11420,11-10-2020,01-10-2020,Sunday,Fudge,1,2.5,Slice,Pre-Order,Yes
11421,11-10-2020,01-10-2020,Sunday,Apple,2,40,Whole,Pre-Order,Yes
11422,11-10-2020,01-10-2020,Sunday,Fudge,3,60,Whole,In-Store,Yes
11423,11-10-2020,01-10-2020,Sunday,Blueberry,1,20,Whole,Pre-Order,Yes
11424,11-10-2020,01-10-2020,Sunday,Apple,3,7.5,Slice,In-Store,No
11425,23-12-2020,01-12-2020,Wednesday,Pumpkin,3,7.5,Slice,In-Store,Yes
11426,23-12-2020,01-12-2020,Wednesday,Pumpkin,5,100,Whole,In-Store,No
11427,23-12-2020,01-12-2020,Wednesday,Fudge,1,20,Whole,In-Store,No
11428,23-12-2020,01-12-2020,Wednesday,Other,2,40,Whole,Pre-Order,No
11429,23-12-2020,01-12-2020,Wednesday,Apple,3,60,Whole,Pre-Order,No
11430,23-12-2020,01-12-2020,Wednesday,Other,5,12.5,Slice,Pre-Order,No
11431,22-01-2021,01-01-2021,Friday,Cherry,3,7.5,Slice,Pre-Order,Yes
11432,22-01-2021,01-01-2021,Friday,Strawberry Rhubarb,4,10,Slice,In-Store,No
11433,22-01-2021,01-01-2021,Friday,Cherry,4,10,Slice,In-Store,No
11434,22-01-2021,01-01-2021,Friday,Cherry,3,60,Whole,Pre-Order,No
11435,22-01-2021,01-01-2021,Friday,Strawberry Rhubarb,1,2.5,Slice,Pre-Order,No
11436,22-01-2021,01-01-2021,Friday,Cherry,1,2.5,Slice,In-Store,Yes
11437,22-01-2021,01-01-2021,Friday,Cherry,5,100,Whole,In-Store,No
11438,22-01-2021,01-01-2021,Friday,Cherry,5,12.5,Slice,In-Store,Yes
11439,22-01-2021,01-01-2021,Friday,Strawberry Rhubarb,2,5,Slice,Pre-Order,No
11440,22-01-2021,01-01-2021,Friday,Cherry,2,40,Whole,Pre-Order,No
11441,22-01-2021,01-01-2021,Friday,Strawberry Rhubarb,2,5,Slice,Pre-Order,Yes
11442,22-01-2021,01-01-2021,Friday,Cherry,1,2.5,Slice,Pre-Order,Yes
11443,22-01-2021,01-01-2021,Friday,Cherry,1,20,Whole,In-Store,Yes
11444,22-01-2021,01-01-2021,Friday,Apple,3,60,Whole,Pre-Order,No
11445,07-04-2021,01-04-2021,Wednesday,Pumpkin,1,2.5,Slice,Pre-Order,No
11446,07-04-2021,01-04-2021,Wednesday,Pumpkin,4,80,Whole,In-Store,No
11447,07-04-2021,01-04-2021,Wednesday,Pumpkin,1,2.5,Slice,Pre-Order,Yes
11448,07-04-2021,01-04-2021,Wednesday,Pumpkin,1,2.5,Slice,In-Store,Yes
11449,07-04-2021,01-04-2021,Wednesday,Pumpkin,2,5,Slice,In-Store,No
11450,07-04-2021,01-04-2021,Wednesday,Pumpkin,4,10,Slice,Pre-Order,No
11451,07-04-2021,01-04-2021,Wednesday,Pumpkin,2,5,Slice,In-Store,Yes
11452,07-04-2021,01-04-2021,Wednesday,Fudge,5,12.5,Slice,Pre-Order,No
11453,07-04-2021,01-04-2021,Wednesday,Fudge,1,20,Whole,Pre-Order,Yes
11454,02-11-2021,01-11-2021,Tuesday,Apple,5,12.5,Slice,In-Store,Yes
11455,02-11-2021,01-11-2021,Tuesday,Apple,3,60,Whole,Pre-Order,Yes
11456,11-10-2019,01-10-2019,Friday,Apple,5,100,Whole,In-Store,No
11457,11-10-2019,01-10-2019,Friday,Apple,2,40,Whole,In-Store,No
11458,11-10-2019,01-10-2019,Friday,Apple,2,5,Slice,Pre-Order,Yes
11459,11-10-2019,01-10-2019,Friday,Apple,4,80,Whole,Pre-Order,Yes
11460,11-10-2019,01-10-2019,Friday,Apple,1,20,Whole,Pre-Order,No
11461,11-10-2019,01-10-2019,Friday,Apple,3,60,Whole,In-Store,Yes
11462,11-10-2019,01-10-2019,Friday,Apple,3,60,Whole,In-Store,No
11463,11-10-2019,01-10-2019,Friday,Apple,2,5,Slice,In-Store,Yes
11464,11-10-2019,01-10-2019,Friday,Apple,5,12.5,Slice,In-Store,Yes
11465,11-10-2019,01-10-2019,Friday,Cherry,5,12.5,Slice,In-Store,No
11466,11-10-2019,01-10-2019,Friday,Cherry,5,12.5,Slice,Pre-Order,Yes
11467,11-10-2019,01-10-2019,Friday,Cherry,5,100,Whole,Pre-Order,No
11468,11-10-2019,01-10-2019,Friday,Cherry,2,40,Whole,Pre-Order,Yes
11469,11-10-2019,01-10-2019,Friday,Apple,4,10,Slice,Pre-Order,Yes
11470,11-10-2019,01-10-2019,Friday,Other,2,40,Whole,Pre-Order,No
11471,11-10-2019,01-10-2019,Friday,Pumpkin,4,10,Slice,Pre-Order,No
11472,11-10-2019,01-10-2019,Friday,Pumpkin,3,7.5,Slice,In-Store,Yes
11473,30-04-2021,01-04-2021,Friday,Apple,1,20,Whole,In-Store,No
11474,30-04-2021,01-04-2021,Friday,Apple,2,40,Whole,In-Store,Yes
11475,30-04-2021,01-04-2021,Friday,Apple,2,5,Slice,In-Store,Yes
11476,30-04-2021,01-04-2021,Friday,Apple,4,80,Whole,In-Store,No
11477,30-11-2021,01-11-2021,Tuesday,Pumpkin,5,100,Whole,In-Store,No
11478,30-04-2021,01-04-2021,Friday,Apple,5,100,Whole,Pre-Order,Yes
11479,30-11-2021,01-11-2021,Tuesday,Pumpkin,1,20,Whole,In-Store,No
11480,11-06-2021,01-06-2021,Friday,Pumpkin,2,40,Whole,Pre-Order,Yes
11481,30-04-2020,01-04-2020,Thursday,Apple,2,40,Whole,Pre-Order,No
11482,30-04-2020,01-04-2020,Thursday,Blueberry,1,20,Whole,Pre-Order,No
11483,30-04-2020,01-04-2020,Thursday,Other,4,80,Whole,In-Store,Yes
11484,30-11-2021,01-11-2021,Tuesday,Pumpkin,1,2.5,Slice,In-Store,No
11485,30-11-2021,01-11-2021,Tuesday,Pumpkin,3,60,Whole,Pre-Order,No
11486,30-11-2021,01-11-2021,Tuesday,Apple,4,10,Slice,In-Store,Yes
11487,30-04-2020,01-04-2020,Thursday,Other,5,12.5,Slice,In-Store,No
11488,30-11-2021,01-11-2021,Tuesday,Apple,2,40,Whole,Pre-Order,Yes
11489,07-10-2020,01-10-2020,Wednesday,Cherry,1,20,Whole,Pre-Order,Yes
11490,07-10-2020,01-10-2020,Wednesday,Cherry,4,80,Whole,Pre-Order,Yes
11491,07-10-2020,01-10-2020,Wednesday,Cherry,5,12.5,Slice,Pre-Order,Yes
11492,07-10-2020,01-10-2020,Wednesday,Apple,4,80,Whole,Pre-Order,No
11493,07-10-2020,01-10-2020,Wednesday,Cherry,2,5,Slice,In-Store,No
11494,07-10-2020,01-10-2020,Wednesday,Cherry,1,20,Whole,Pre-Order,Yes
11495,07-10-2020,01-10-2020,Wednesday,Apple,4,10,Slice,Pre-Order,No
11496,07-10-2020,01-10-2020,Wednesday,Cherry,2,40,Whole,In-Store,Yes
11497,07-10-2020,01-10-2020,Wednesday,Apple,3,60,Whole,In-Store,Yes
11498,19-11-2019,01-11-2019,Tuesday,Apple,4,80,Whole,In-Store,Yes
11499,19-11-2019,01-11-2019,Tuesday,Blueberry,1,20,Whole,Pre-Order,Yes
11500,10-02-2021,01-02-2021,Wednesday,Apple,4,80,Whole,Pre-Order,Yes
11501,10-02-2021,01-02-2021,Wednesday,Apple,5,12.5,Slice,Pre-Order,Yes
11502,08-05-2021,01-05-2021,Saturday,Fudge,4,10,Slice,In-Store,Yes
11503,08-05-2021,01-05-2021,Saturday,Fudge,4,80,Whole,In-Store,Yes
11504,08-05-2021,01-05-2021,Saturday,Blueberry,2,5,Slice,In-Store,Yes
11505,08-05-2021,01-05-2021,Saturday,Fudge,3,60,Whole,Pre-Order,Yes
11506,06-03-2020,01-03-2020,Friday,Blueberry,5,100,Whole,In-Store,Yes
11507,06-03-2020,01-03-2020,Friday,Apple,4,80,Whole,In-Store,Yes
11508,14-07-2021,01-07-2021,Wednesday,Strawberry Rhubarb,4,10,Slice,In-Store,Yes
11509,07-09-2019,01-09-2019,Saturday,Strawberry Rhubarb,1,2.5,Slice,Pre-Order,Yes
11510,07-09-2019,01-09-2019,Saturday,Strawberry Rhubarb,1,20,Whole,Pre-Order,Yes
11511,07-09-2019,01-09-2019,Saturday,Cherry,1,2.5,Slice,In-Store,Yes
11512,07-09-2019,01-09-2019,Saturday,Strawberry Rhubarb,2,40,Whole,In-Store,Yes
11513,07-09-2019,01-09-2019,Saturday,Cherry,4,80,Whole,Pre-Order,Yes
11514,24-03-2020,01-03-2020,Tuesday,Strawberry Rhubarb,2,5,Slice,In-Store,Yes
11515,24-03-2020,01-03-2020,Tuesday,Apple,3,60,Whole,In-Store,Yes
11516,24-03-2020,01-03-2020,Tuesday,Apple,3,60,Whole,In-Store,Yes
11517,24-03-2020,01-03-2020,Tuesday,Apple,3,7.5,Slice,In-Store,Yes
11518,24-03-2020,01-03-2020,Tuesday,Apple,5,100,Whole,Pre-Order,Yes
11519,24-03-2020,01-03-2020,Tuesday,Apple,4,80,Whole,In-Store,Yes
11520,26-04-2021,01-04-2021,Monday,Blueberry,3,7.5,Slice,Pre-Order,Yes
11521,26-04-2021,01-04-2021,Monday,Apple,4,80,Whole,In-Store,Yes
11522,26-11-2021,01-11-2021,Friday,Apple,1,20,Whole,Pre-Order,Yes
11523,26-04-2021,01-04-2021,Monday,Blueberry,1,2.5,Slice,Pre-Order,Yes
11524,26-04-2021,01-04-2021,Monday,Blueberry,3,7.5,Slice,In-Store,Yes
11525,26-04-2021,01-04-2021,Monday,Other,1,20,Whole,In-Store,Yes
11526,26-04-2021,01-04-2021,Monday,Blueberry,1,20,Whole,Pre-Order,Yes
11527,26-11-2021,01-11-2021,Friday,Pumpkin,4,80,Whole,Pre-Order,Yes
11528,26-04-2021,01-04-2021,Monday,Blueberry,4,80,Whole,In-Store,Yes
11529,27-03-2020,01-03-2020,Friday,Fudge,5,100,Whole,In-Store,Yes
11530,27-03-2020,01-03-2020,Friday,Fudge,4,10,Slice,Pre-Order,Yes
11531,27-03-2020,01-03-2020,Friday,Apple,2,40,Whole,Pre-Order,Yes
11532,27-03-2020,01-03-2020,Friday,Fudge,1,2.5,Slice,Pre-Order,Yes
11533,27-03-2020,01-03-2020,Friday,Blueberry,4,10,Slice,Pre-Order,Yes
11534,27-03-2020,01-03-2020,Friday,Apple,5,12.5,Slice,Pre-Order,Yes
11535,27-03-2020,01-03-2020,Friday,Blueberry,3,7.5,Slice,Pre-Order,Yes
11536,27-03-2020,01-03-2020,Friday,Apple,3,7.5,Slice,In-Store,Yes
11537,27-03-2020,01-03-2020,Friday,Strawberry Rhubarb,3,60,Whole,Pre-Order,Yes
11538,27-03-2020,01-03-2020,Friday,Blueberry,1,20,Whole,In-Store,Yes
11539,27-03-2020,01-03-2020,Friday,Apple,5,100,Whole,Pre-Order,Yes
11540,27-03-2020,01-03-2020,Friday,Blueberry,1,20,Whole,In-Store,Yes
11541,27-03-2020,01-03-2020,Friday,Blueberry,1,2.5,Slice,In-Store,Yes
11542,27-03-2020,01-03-2020,Friday,Blueberry,2,5,Slice,In-Store,Yes
11543,27-03-2020,01-03-2020,Friday,Blueberry,4,10,Slice,Pre-Order,Yes
11544,27-03-2020,01-03-2020,Friday,Blueberry,1,2.5,Slice,In-Store,Yes
11545,11-02-2021,01-02-2021,Thursday,Cherry,4,80,Whole,Pre-Order,Yes
11546,11-02-2021,01-02-2021,Thursday,Cherry,4,80,Whole,In-Store,Yes
11547,11-02-2021,01-02-2021,Thursday,Cherry,4,10,Slice,In-Store,Yes
11548,11-02-2021,01-02-2021,Thursday,Strawberry Rhubarb,3,7.5,Slice,Pre-Order,Yes
11549,11-02-2021,01-02-2021,Thursday,Cherry,4,80,Whole,Pre-Order,Yes
11550,11-02-2021,01-02-2021,Thursday,Strawberry Rhubarb,5,100,Whole,Pre-Order,Yes
11551,11-02-2021,01-02-2021,Thursday,Cherry,5,100,Whole,In-Store,Yes
11552,11-02-2021,01-02-2021,Thursday,Cherry,1,2.5,Slice,Pre-Order,Yes
11553,11-02-2021,01-02-2021,Thursday,Apple,2,40,Whole,Pre-Order,Yes
11554,11-02-2021,01-02-2021,Thursday,Cherry,5,100,Whole,Pre-Order,Yes
11555,11-02-2021,01-02-2021,Thursday,Strawberry Rhubarb,3,7.5,Slice,Pre-Order,Yes
11556,11-02-2021,01-02-2021,Thursday,Apple,2,5,Slice,Pre-Order,Yes
11557,11-02-2021,01-02-2021,Thursday,Apple,5,12.5,Slice,Pre-Order,Yes
11558,11-02-2021,01-02-2021,Thursday,Apple,4,10,Slice,Pre-Order,Yes
11559,06-08-2021,01-08-2021,Friday,Pumpkin,1,2.5,Slice,In-Store,Yes
11560,06-08-2021,01-08-2021,Friday,Pumpkin,3,7.5,Slice,In-Store,Yes
11561,06-08-2021,01-08-2021,Friday,Strawberry Rhubarb,5,12.5,Slice,In-Store,Yes
11562,06-08-2021,01-08-2021,Friday,Strawberry Rhubarb,1,20,Whole,Pre-Order,Yes
11563,06-08-2021,01-08-2021,Friday,Pumpkin,4,80,Whole,In-Store,Yes
11564,06-08-2021,01-08-2021,Friday,Strawberry Rhubarb,3,7.5,Slice,Pre-Order,Yes
11565,06-08-2021,01-08-2021,Friday,Strawberry Rhubarb,2,5,Slice,Pre-Order,Yes
11566,06-08-2021,01-08-2021,Friday,Strawberry Rhubarb,3,60,Whole,Pre-Order,Yes
11567,04-09-2019,01-09-2019,Wednesday,Strawberry Rhubarb,3,7.5,Slice,Pre-Order,Yes
11568,04-09-2019,01-09-2019,Wednesday,Cherry,4,80,Whole,In-Store,Yes
11569,04-09-2019,01-09-2019,Wednesday,Cherry,2,5,Slice,Pre-Order,Yes
11570,04-09-2019,01-09-2019,Wednesday,Strawberry Rhubarb,3,60,Whole,In-Store,Yes
11571,04-09-2019,01-09-2019,Wednesday,Cherry,5,100,Whole,Pre-Order,Yes
11572,04-09-2019,01-09-2019,Wednesday,Cherry,2,5,Slice,In-Store,Yes
11573,04-09-2019,01-09-2019,Wednesday,Cherry,4,80,Whole,In-Store,Yes
11574,04-09-2019,01-09-2019,Wednesday,Strawberry Rhubarb,4,10,Slice,In-Store,Yes
11575,04-09-2019,01-09-2019,Wednesday,Cherry,1,2.5,Slice,Pre-Order,Yes
11576,04-09-2019,01-09-2019,Wednesday,Strawberry Rhubarb,2,40,Whole,Pre-Order,Yes
11577,31-01-2021,01-01-2021,Sunday,Pumpkin,4,80,Whole,Pre-Order,Yes
11578,25-11-2021,01-11-2021,Thursday,Pumpkin,1,2.5,Slice,In-Store,Yes
11579,25-11-2021,01-11-2021,Thursday,Pumpkin,4,80,Whole,In-Store,Yes
11580,25-04-2021,01-04-2021,Sunday,Cherry,3,7.5,Slice,Pre-Order,Yes
11581,25-11-2021,01-11-2021,Thursday,Fudge,1,2.5,Slice,In-Store,Yes
11582,25-11-2021,01-11-2021,Thursday,Apple,5,100,Whole,Pre-Order,Yes
11583,25-11-2021,01-11-2021,Thursday,Pumpkin,5,12.5,Slice,Pre-Order,Yes
11584,25-04-2021,01-04-2021,Sunday,Other,4,10,Slice,Pre-Order,Yes
11585,25-04-2021,01-04-2021,Sunday,Cherry,1,20,Whole,In-Store,Yes
11586,25-04-2021,01-04-2021,Sunday,Other,1,2.5,Slice,Pre-Order,Yes
11587,25-11-2021,01-11-2021,Thursday,Other,3,7.5,Slice,In-Store,Yes
11588,25-11-2021,01-11-2021,Thursday,Pumpkin,3,7.5,Slice,Pre-Order,Yes
11589,25-04-2021,01-04-2021,Sunday,Apple,5,100,Whole,In-Store,Yes
11590,31-10-2019,01-10-2019,Thursday,Cherry,4,80,Whole,Pre-Order,Yes
11591,31-10-2019,01-10-2019,Thursday,Cherry,3,60,Whole,Pre-Order,Yes
11592,31-10-2019,01-10-2019,Thursday,Cherry,5,12.5,Slice,Pre-Order,Yes
11593,31-10-2019,01-10-2019,Thursday,Strawberry Rhubarb,4,10,Slice,In-Store,Yes
11594,31-10-2019,01-10-2019,Thursday,Cherry,5,12.5,Slice,Pre-Order,Yes
11595,31-10-2019,01-10-2019,Thursday,Apple,1,2.5,Slice,Pre-Order,Yes
11596,31-10-2019,01-10-2019,Thursday,Cherry,4,80,Whole,Pre-Order,Yes
11597,31-10-2019,01-10-2019,Thursday,Cherry,2,5,Slice,Pre-Order,Yes
11598,31-10-2019,01-10-2019,Thursday,Apple,3,60,Whole,In-Store,Yes
11599,31-10-2019,01-10-2019,Thursday,Cherry,4,10,Slice,Pre-Order,Yes
11600,31-10-2019,01-10-2019,Thursday,Apple,4,10,Slice,In-Store,Yes
11601,31-10-2019,01-10-2019,Thursday,Apple,5,100,Whole,In-Store,Yes
11602,31-10-2019,01-10-2019,Thursday,Apple,5,100,Whole,In-Store,Yes
11603,31-10-2019,01-10-2019,Thursday,Apple,4,10,Slice,Pre-Order,Yes
11604,31-10-2019,01-10-2019,Thursday,Apple,2,5,Slice,In-Store,Yes
11605,31-10-2019,01-10-2019,Thursday,Apple,1,2.5,Slice,Pre-Order,Yes
11606,31-10-2019,01-10-2019,Thursday,Apple,5,100,Whole,Pre-Order,Yes
11607,30-06-2020,01-06-2020,Tuesday,Apple,4,10,Slice,Pre-Order,Yes
11608,30-06-2020,01-06-2020,Tuesday,Apple,2,5,Slice,In-Store,Yes
11609,30-06-2020,01-06-2020,Tuesday,Apple,1,2.5,Slice,In-Store,Yes
11610,30-06-2020,01-06-2020,Tuesday,Apple,3,7.5,Slice,Pre-Order,Yes
11611,30-06-2020,01-06-2020,Tuesday,Apple,3,7.5,Slice,Pre-Order,Yes
11612,30-06-2020,01-06-2020,Tuesday,Apple,1,2.5,Slice,Pre-Order,Yes
11613,30-06-2020,01-06-2020,Tuesday,Apple,2,5,Slice,In-Store,Yes
11614,06-04-2021,01-04-2021,Tuesday,Cherry,3,7.5,Slice,In-Store,Yes
11615,06-04-2021,01-04-2021,Tuesday,Apple,2,40,Whole,In-Store,Yes
11616,06-04-2021,01-04-2021,Tuesday,Cherry,4,10,Slice,Pre-Order,Yes
11617,06-11-2021,01-11-2021,Saturday,Fudge,3,60,Whole,Pre-Order,Yes
11618,06-04-2021,01-04-2021,Tuesday,Cherry,3,60,Whole,Pre-Order,Yes
11619,06-04-2021,01-04-2021,Tuesday,Apple,2,40,Whole,Pre-Order,Yes
11620,06-11-2021,01-11-2021,Saturday,Other,5,100,Whole,Pre-Order,Yes
11621,06-11-2021,01-11-2021,Saturday,Apple,3,7.5,Slice,In-Store,Yes
11622,30-01-2021,01-01-2021,Saturday,Pumpkin,5,12.5,Slice,Pre-Order,Yes
11623,30-01-2021,01-01-2021,Saturday,Pumpkin,5,100,Whole,Pre-Order,Yes
11624,30-01-2021,01-01-2021,Saturday,Pumpkin,4,10,Slice,Pre-Order,Yes
11625,30-01-2021,01-01-2021,Saturday,Pumpkin,4,80,Whole,Pre-Order,Yes
11626,30-01-2021,01-01-2021,Saturday,Pumpkin,2,40,Whole,In-Store,Yes
11627,30-01-2021,01-01-2021,Saturday,Pumpkin,5,12.5,Slice,In-Store,Yes
11628,30-01-2021,01-01-2021,Saturday,Pumpkin,4,80,Whole,Pre-Order,Yes
11629,30-01-2021,01-01-2021,Saturday,Pumpkin,4,10,Slice,Pre-Order,Yes
11630,30-01-2021,01-01-2021,Saturday,Pumpkin,3,60,Whole,Pre-Order,No
11631,30-01-2021,01-01-2021,Saturday,Pumpkin,4,80,Whole,In-Store,No
11632,30-01-2021,01-01-2021,Saturday,Pumpkin,4,10,Slice,In-Store,No
11633,30-01-2021,01-01-2021,Saturday,Pumpkin,5,12.5,Slice,Pre-Order,Yes
11634,30-01-2021,01-01-2021,Saturday,Fudge,2,40,Whole,In-Store,No
11635,18-03-2021,01-03-2021,Thursday,Strawberry Rhubarb,3,60,Whole,In-Store,Yes
11636,18-03-2021,01-03-2021,Thursday,Strawberry Rhubarb,3,60,Whole,In-Store,Yes
11637,18-03-2021,01-03-2021,Thursday,Cherry,5,12.5,Slice,Pre-Order,No
11638,18-03-2021,01-03-2021,Thursday,Strawberry Rhubarb,5,100,Whole,Pre-Order,Yes
11639,18-03-2021,01-03-2021,Thursday,Cherry,4,10,Slice,In-Store,No
11640,18-03-2021,01-03-2021,Thursday,Strawberry Rhubarb,2,5,Slice,In-Store,No
11641,18-03-2021,01-03-2021,Thursday,Cherry,5,12.5,Slice,In-Store,No
11642,18-03-2021,01-03-2021,Thursday,Cherry,1,2.5,Slice,In-Store,Yes
11643,18-03-2021,01-03-2021,Thursday,Strawberry Rhubarb,4,10,Slice,In-Store,No
11644,18-03-2021,01-03-2021,Thursday,Cherry,3,60,Whole,In-Store,No
11645,18-03-2021,01-03-2021,Thursday,Cherry,5,12.5,Slice,In-Store,No
11646,18-03-2021,01-03-2021,Thursday,Cherry,1,20,Whole,In-Store,No
11647,18-03-2021,01-03-2021,Thursday,Strawberry Rhubarb,3,7.5,Slice,Pre-Order,Yes
11648,18-03-2021,01-03-2021,Thursday,Cherry,2,5,Slice,In-Store,No
11649,15-04-2020,01-04-2020,Wednesday,Strawberry Rhubarb,5,12.5,Slice,Pre-Order,No
11650,15-04-2020,01-04-2020,Wednesday,Strawberry Rhubarb,1,2.5,Slice,In-Store,Yes
11651,15-04-2020,01-04-2020,Wednesday,Pumpkin,4,80,Whole,Pre-Order,No
11652,15-04-2020,01-04-2020,Wednesday,Pumpkin,4,80,Whole,Pre-Order,No
11653,15-04-2020,01-04-2020,Wednesday,Pumpkin,1,2.5,Slice,Pre-Order,No
11654,15-04-2020,01-04-2020,Wednesday,Pumpkin,1,20,Whole,Pre-Order,No
11655,15-04-2020,01-04-2020,Wednesday,Pumpkin,5,100,Whole,In-Store,Yes
11656,15-04-2020,01-04-2020,Wednesday,Pumpkin,3,7.5,Slice,Pre-Order,No
11657,15-04-2020,01-04-2020,Wednesday,Pumpkin,3,7.5,Slice,In-Store,No
11658,15-04-2020,01-04-2020,Wednesday,Pumpkin,3,7.5,Slice,In-Store,No
11659,15-04-2020,01-04-2020,Wednesday,Pumpkin,4,10,Slice,Pre-Order,Yes
11660,15-04-2020,01-04-2020,Wednesday,Pumpkin,5,12.5,Slice,Pre-Order,Yes
11661,15-04-2020,01-04-2020,Wednesday,Pumpkin,1,2.5,Slice,Pre-Order,No
11662,15-04-2020,01-04-2020,Wednesday,Pumpkin,3,7.5,Slice,Pre-Order,Yes
11663,26-07-2020,01-07-2020,Sunday,Pumpkin,1,2.5,Slice,Pre-Order,Yes
11664,26-07-2020,01-07-2020,Sunday,Pumpkin,3,60,Whole,Pre-Order,Yes
11665,26-07-2020,01-07-2020,Sunday,Pumpkin,3,60,Whole,Pre-Order,No
11666,26-07-2020,01-07-2020,Sunday,Pumpkin,1,20,Whole,Pre-Order,Yes
11667,26-07-2020,01-07-2020,Sunday,Pumpkin,3,60,Whole,Pre-Order,No
11668,26-07-2020,01-07-2020,Sunday,Pumpkin,4,80,Whole,Pre-Order,Yes
11669,29-04-2020,01-04-2020,Wednesday,Cherry,4,10,Slice,In-Store,Yes
11670,29-04-2020,01-04-2020,Wednesday,Cherry,3,7.5,Slice,Pre-Order,No
11671,29-04-2020,01-04-2020,Wednesday,Cherry,2,40,Whole,Pre-Order,No
11672,29-04-2020,01-04-2020,Wednesday,Strawberry Rhubarb,1,20,Whole,Pre-Order,Yes
11673,29-04-2020,01-04-2020,Wednesday,Cherry,5,12.5,Slice,In-Store,No
11674,29-04-2020,01-04-2020,Wednesday,Strawberry Rhubarb,1,2.5,Slice,Pre-Order,No
11675,29-04-2020,01-04-2020,Wednesday,Cherry,1,20,Whole,In-Store,Yes
11676,29-04-2020,01-04-2020,Wednesday,Cherry,4,80,Whole,In-Store,Yes
11677,29-04-2020,01-04-2020,Wednesday,Apple,5,100,Whole,In-Store,Yes
11678,29-04-2020,01-04-2020,Wednesday,Cherry,1,20,Whole,In-Store,Yes
11679,29-04-2020,01-04-2020,Wednesday,Strawberry Rhubarb,2,5,Slice,In-Store,Yes
11680,06-06-2020,01-06-2020,Saturday,Blueberry,5,100,Whole,In-Store,No
11681,06-06-2020,01-06-2020,Saturday,Apple,3,60,Whole,Pre-Order,Yes
11682,06-06-2020,01-06-2020,Saturday,Blueberry,1,20,Whole,Pre-Order,No
11683,06-06-2020,01-06-2020,Saturday,Blueberry,2,40,Whole,In-Store,No
11684,06-06-2020,01-06-2020,Saturday,Blueberry,4,80,Whole,In-Store,No
11685,06-06-2020,01-06-2020,Saturday,Blueberry,5,100,Whole,Pre-Order,No
11686,06-06-2020,01-06-2020,Saturday,Blueberry,3,7.5,Slice,Pre-Order,Yes
11687,06-06-2020,01-06-2020,Saturday,Apple,4,80,Whole,Pre-Order,Yes
11688,06-06-2020,01-06-2020,Saturday,Apple,2,5,Slice,In-Store,No
11689,06-06-2020,01-06-2020,Saturday,Blueberry,3,60,Whole,In-Store,No
11690,06-06-2020,01-06-2020,Saturday,Other,5,12.5,Slice,In-Store,Yes
11691,06-06-2020,01-06-2020,Saturday,Strawberry Rhubarb,3,7.5,Slice,Pre-Order,Yes
11692,06-06-2020,01-06-2020,Saturday,Strawberry Rhubarb,3,7.5,Slice,Pre-Order,No
11693,06-06-2020,01-06-2020,Saturday,Strawberry Rhubarb,4,80,Whole,In-Store,No
11694,06-06-2020,01-06-2020,Saturday,Other,2,40,Whole,In-Store,Yes
11695,05-08-2020,01-08-2020,Wednesday,Apple,2,5,Slice,Pre-Order,Yes
11696,05-08-2020,01-08-2020,Wednesday,Apple,5,12.5,Slice,Pre-Order,No
11697,05-08-2020,01-08-2020,Wednesday,Apple,4,10,Slice,In-Store,No
11698,05-08-2020,01-08-2020,Wednesday,Apple,3,7.5,Slice,In-Store,No
11699,05-08-2020,01-08-2020,Wednesday,Apple,5,100,Whole,In-Store,Yes
11700,05-08-2020,01-08-2020,Wednesday,Apple,5,100,Whole,In-Store,Yes
11701,05-08-2020,01-08-2020,Wednesday,Apple,5,100,Whole,In-Store,Yes
11702,05-08-2020,01-08-2020,Wednesday,Apple,4,80,Whole,In-Store,No
11703,05-08-2020,01-08-2020,Wednesday,Apple,3,60,Whole,In-Store,No
11704,05-08-2020,01-08-2020,Wednesday,Apple,5,12.5,Slice,Pre-Order,Yes
11705,05-08-2020,01-08-2020,Wednesday,Apple,2,40,Whole,In-Store,Yes
11706,05-08-2020,01-08-2020,Wednesday,Strawberry Rhubarb,2,5,Slice,Pre-Order,Yes
11707,05-08-2020,01-08-2020,Wednesday,Strawberry Rhubarb,3,7.5,Slice,In-Store,Yes
11708,05-08-2020,01-08-2020,Wednesday,Strawberry Rhubarb,3,60,Whole,Pre-Order,No
11709,05-08-2020,01-08-2020,Wednesday,Strawberry Rhubarb,5,12.5,Slice,In-Store,Yes
11710,10-03-2020,01-03-2020,Tuesday,Fudge,1,20,Whole,In-Store,No
11711,10-03-2020,01-03-2020,Tuesday,Fudge,5,12.5,Slice,Pre-Order,Yes
11712,10-03-2020,01-03-2020,Tuesday,Fudge,5,12.5,Slice,Pre-Order,Yes
11713,10-03-2020,01-03-2020,Tuesday,Fudge,4,10,Slice,Pre-Order,No
11714,10-03-2020,01-03-2020,Tuesday,Fudge,2,5,Slice,In-Store,Yes
